old_name,new_name
a18AL1_FKDL202605679-1a-D705-AK1544_HMF7CDRXX_L2_2.fq,2009_R2.fastq
a1AL1_FKDL202605679-1a-DY0088-AK1680_HMF7CDRXX_L2_1.fq,2010_R1.fastq
a1AL1_FKDL202605679-1a-DY0088-AK1680_HMF7CDRXX_L2_2.fq,2010_R2.fastq
a20AL1_FKDL202605679-1a-D705-AK1545_HMF7CDRXX_L2_1.fq,2011_R1.fastq
a20AL1_FKDL202605679-1a-D705-AK1545_HMF7CDRXX_L2_2.fq,2011_R2.fastq
a27AL1_FKDL202605679-1a-D707-AK1681_HMF7CDRXX_L2_1.fq,2018_R1.fastq
a27AL1_FKDL202605679-1a-D707-AK1681_HMF7CDRXX_L2_2.fq,2018_R2.fastq
a2AL1_FKDL202605679-1a-DY0088-AK1681_HMF7CDRXX_L2_1.fq,2019_R1.fastq
a2AL1_FKDL202605679-1a-DY0088-AK1681_HMF7CDRXX_L2_2.fq,2019_R2.fastq
a30AL1_FKDL202605679-1a-D705-AK1546_HMF7CDRXX_L2_1.fq,2028_R1.fastq
a30AL1_FKDL202605679-1a-D705-AK1546_HMF7CDRXX_L2_2.fq,2028_R2.fastq
a31AL1_FKDL202605679-1a-D706-AK1680_HMF7CDRXX_L2_1.fq,2035_R1.fastq
a31AL1_FKDL202605679-1a-D706-AK1680_HMF7CDRXX_L2_2.fq,2035_R2.fastq
a32AL1_FKDL202605679-1a-D706-AK1681_HMF7CDRXX_L2_1.fq,2037_R1.fastq
a32AL1_FKDL202605679-1a-D706-AK1681_HMF7CDRXX_L2_2.fq,2037_R2.fastq
a34AL1_FKDL202605679-1a-D704-AK1544_HMF7CDRXX_L2_1.fq,2038_R1.fastq
a34AL1_FKDL202605679-1a-D704-AK1544_HMF7CDRXX_L2_2.fq,2038_R2.fastq
a35AL1_FKDL202605679-1a-D706-AK1682_HMF7CDRXX_L2_1.fq,2039_R1.fastq
a35AL1_FKDL202605679-1a-D706-AK1682_HMF7CDRXX_L2_2.fq,2039_R2.fastq
a36AL1_FKDL202605679-1a-D707-AK1682_HMF7CDRXX_L2_1.fq,2040_R1.fastq
a36AL1_FKDL202605679-1a-D707-AK1682_HMF7CDRXX_L2_2.fq,2040_R2.fastq
a37AL1_FKDL202605679-1a-D706-AK1780_HMF7CDRXX_L2_1.fq,2041_R1.fastq
a37AL1_FKDL202605679-1a-D706-AK1780_HMF7CDRXX_L2_2.fq,2041_R2.fastq
a38AL1_FKDL202605679-1a-D704-AK1545_HMF7CDRXX_L2_1.fq,2042_R1.fastq
a38AL1_FKDL202605679-1a-D704-AK1545_HMF7CDRXX_L2_2.fq,2042_R2.fastq
a39AL1_FKDL202605679-1a-D707-AK1780_HMF7CDRXX_L2_1.fq,2043_R1.fastq
a39AL1_FKDL202605679-1a-D707-AK1780_HMF7CDRXX_L2_2.fq,2043_R2.fastq
a3AL1_FKDL202605679-1a-D705-AK1680_HMF7CDRXX_L2_1.fq,2044_R1.fastq
